URL,Title,Salary,Contract Type,Job Type,Address
https://www.reed.co.uk/jobs/data-analyst/52243131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst,"£50,000 - £60,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/data-analyst-apprentice/52175351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst Apprentice,"£16,000 - £19,000 per annum",Permanent,full-time,London
https://www.reed.co.uk/jobs/it-data-analyst/52212140?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,IT Data Analyst,£18.10 per hour,Temporary,full-time,Manchester
https://www.reed.co.uk/jobs/digital-data-analyst/52046551?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Digital Data Analyst,"£42,000 - £45,000 per annum, inc benefits, pro-rata",Permanent,full-time,City of London
https://www.reed.co.uk/jobs/data-analyst-apprentice/52253717?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst Apprentice,"£18,000 per annum",Permanent,full-time,Wynyard
https://www.reed.co.uk/jobs/senior-data-analyst/52200409?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Senior Data Analyst,"£41,383 - £52,000 per annum",Permanent,full-time,Brighton
https://www.reed.co.uk/jobs/dhs-data-analyst/51961924?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,DHS Data Analyst,Competitive salary,Permanent,full-time,Chorley
https://www.reed.co.uk/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Risk Data Analyst,Competitive salary,Permanent,full-time,Loughborough
https://www.reed.co.uk/jobs/data-analyst-apprentice/52158800?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Data Analyst Apprentice,Competitive salary,Permanent,full-time,Leighton Buzzard
https://www.reed.co.uk/jobs/supply-chain-data-analyst/52125439?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3FhideTrainingJobs%3Dtrue,Supply Chain Data Analyst,Competitive salary,Permanent,full-time,Gaydon
